name,votes,sortorder
Marvin Minsky,1,1
Maureen O'Hara,4,2
Anton Yelchin,4,3
Harve Bennett,1,4
Chuck Bednarik,2,5
Muhammad Ali,4,6
Samuel Goldwyn Jr.,2,7
Freddie Gray,4,8
Shimon Peres,2,9
Wayne Dyer,1,10
Jackie Collins,4,11
Merle Haggard,4,12
João Havelange,1,13
Malcolm Fraser,1,14
Sarah Brady,2,15
Beau Biden,3,16
Dusty Rhodes,2,17
E. L. Doctorow,4,18
Arnold Palmer,4,19
"John Forbes Nash, Jr.",1,20
George Clayton Johnson,1,21
Willie L. Williams,1,22
Abdullah of Saudi Arabia,1,23
"Earl Hamner, Jr.",2,24
Joy Browne,1,25
Leonard Nimoy,4,26
Roddy Piper,3,27
Buddy Cianci,1,28
John Saunders,1,29
Ken Stabler,1,30
Gene Amdahl,1,31
Mike Oxley,1,32
Mario Cuomo,3,33
Dale Bumpers,1,34
Garry Marshall,2,35
Carl Djerassi,1,36
Percy Sledge,3,37
Colleen McCullough,3,38
Christina Grimmie,1,39
Ann Rule,3,40
Buddy Ryan,2,41
Dennis Green,1,42
Lou Pearlman,3,43
Kimbo Slice,2,44
Miss Cleo (Youree Dell Harris),3,45
Sylvia Anderson,2,46
Sir Peter Shaffer,2,47
Gordie Howe,2,48
Mark Takai,1,49
Sandy Berger,2,50
Jeralean Talley,1,51
Paul Prudhomme,2,52
Mother Angelica,1,53
Morley Safer,3,54
Alvin Toffler,3,55
Umberto Eco,4,56
Dean Smith,1,57
Alan Rickman,3,58
Jerry Tarkanian,1,59
Blaze Starr,2,60
Gene Wilder,4,61
William E. Boeing Jr.,2,62
Ben E. King,3,63
Lemmy,2,64
Sir Terry Wogan,2,65
Nathan Barksdale,2,66
Conrad Burns,2,67
John McLaughlin,2,68
Edward Albee,4,69
Rudy Van Gelder,2,70
Scott Weiland,2,71
Henry Worsley,1,72
B.B. King,3,73
George Voinovich,1,74
Natalie Cole,4,75
James M. Nederlander,2,76
Julian Bond,1,77
Prince,4,78
Solomon W. Golomb,1,79
Sam Simon,2,80
"Howard A. Anderson, Jr.",1,81
Oliver Sacks,4,82
Dave Mirra,1,83
Paul Couch,1,84
Milt Pappas,1,85
Edgar Mitchell,2,86
Harper Lee,4,87
Camille Muffat,1,88
"Frank Sinatra, Jr.",3,89
Lee Kuan Yew,1,90
Darryl Dawkins,1,91
Kenny Baker,2,92
Toots Thielemans,3,93
Ted Marchibroda,1,94
Lawrence Phillips,1,95
Guido Westerwelle,1,96
Lothar Späth,1,97
Janet Waldo,1,98
Wes Craven,4,99
Antonin Scalia,4,100
Alan Nunnelee,1,101
Phyllis Schlafly,3,102
Vilmos Zsigmond,2,103
Sir Christopher Lee,4,104
Nancy Reagan,4,105
Garo Yepremian,1,106
Stuart Scott,1,107
Caroline Aherne,1,108
Ruth Rendell,2,109
Buckwheat Zydeco,3,110
Joe Garagiola Sr.,1,111
Islam Karimov,1,112
Flip Saunders,2,113
Charb,1,114
Shawty Lo,1,115
Qandeel Baloch,1,116
Pat Conroy,1,117
Patty Duke,3,118
Chyna,3,119
Glenn Frey,3,120
Michael Cimino,2,121
Günter Grass,4,122
The Lady Chablis,3,123
Dick Van Patten,3,124
Tariq Aziz,1,125
Yogi Berra,3,126
Jim Perry,1,127
Phife Dawg,2,128
Moses Malone,2,129
Ken Howard,2,130
William Schallert,1,131
Ray Charles,4,132
Charles Kennedy,1,133
Amber Rayne,1,134
Will Smith,1,135
Fred Thompson,3,136
LaVoy Finicum,2,137
Garry Shandling,3,138
Frank Gifford,3,139
Elie Wiesel,4,140
Marni Nixon,2,141
Nimr al-Nimr,1,142
Bob Simon,2,143
Grace Lee Whitney,2,144
Abe Vigoda,3,145
Rob Ford,3,146
David Bowie,4,147
Pat Summitt,2,148
Omar Sharif,4,149
Keith Emerson,2,150
Johan Cruyff,2,151
Imre Kertész,2,152
Tim LaHaye,2,153
Robert H. Schuller,1,154
Boutros Boutros-Ghali,3,155
Ed Sabol,1,156
Dario Fo,1,157
Dennis Byrd,158
Natalie Babbitt,159